repo,stars,created_at,age_years,merged_prs
drizzle-team/drizzle-orm,35600,2021-06-24T09:03:05Z,5.17,715
tailscale/tailscale,35597,2020-01-31T22:00:03Z,6.57,8735
refinedev/refine,35582,2021-01-20T12:01:32Z,5.6,4697
hehonghui/awesome-english-ebooks,35502,2022-06-28T02:45:44Z,4.16,0
casey/just,35499,2016-06-17T06:08:08Z,10.19,1795
jqlang/jq,35488,2012-07-18T19:57:25Z,14.11,713
blakeblackshear/frigate,35405,2019-01-26T13:52:38Z,7.58,4185
alvarotrigo/fullPage.js,35402,2013-09-20T11:58:29Z,12.93,327
kuchin/awesome-cto,35373,2016-12-16T19:22:18Z,9.69,18
VectifyAI/PageIndex,35333,2025-04-01T10:53:54Z,1.4,104
DayuanJiang/next-ai-draw-io,35313,2025-03-23T15:03:48Z,1.43,445
geekcomputers/Python,35292,2011-11-30T09:04:08Z,14.74,2034
nativefier/nativefier,35287,2015-07-05T05:56:42Z,11.14,261
typicode/husky,35286,2014-06-23T12:14:21Z,12.18,263
sahat/hackathon-starter,35249,2013-11-13T17:24:12Z,12.78,612
esengine/DeepSeek-Reasonix,35191,2026-04-21T08:27:02Z,0.35,3434
gitroomhq/postiz-app,35160,2023-07-08T17:24:22Z,3.13,302
utmapp/UTM,35148,2019-04-12T16:09:24Z,7.37,292
zellij-org/zellij,35135,2020-09-01T14:04:28Z,5.98,1541
fxsjy/jieba,35130,2012-09-29T07:52:01Z,13.91,96
geekan/HowToLiveLonger,35104,2022-04-16T04:15:18Z,4.36,14
netty/netty,35035,2010-11-09T09:22:21Z,15.79,5790
unknwon/the-way-to-go_ZH_CN,35033,2013-03-24T17:18:38Z,13.42,592
bumptech/glide,35026,2013-07-08T22:52:33Z,13.13,642
sorrycc/awesome-javascript,35023,2014-07-01T15:59:02Z,12.15,414
awesome-foss/awesome-sysadmin,34997,2014-12-23T08:41:22Z,11.67,369
laravel/framework,34882,2013-01-10T21:27:28Z,13.62,18541
K-Dense-AI/scientific-agent-skills,34707,2025-10-19T20:54:15Z,0.85,77
qishibo/AnotherRedisDesktopManager,34693,2019-01-08T06:01:56Z,7.63,161
facebookresearch/detectron2,34688,2019-09-05T21:30:20Z,6.97,0
kovidgoyal/kitty,34613,2016-10-16T14:48:28Z,9.86,1502
TheAlgorithms/C-Plus-Plus,34612,2016-07-16T10:19:45Z,10.11,705
lissy93/web-check,34605,2023-06-25T14:32:11Z,3.17,74
ocrmypdf/OCRmyPDF,34590,2013-12-20T08:26:28Z,12.68,203
BVLC/caffe,34556,2013-09-12T18:39:48Z,12.95,1087
anthropics/financial-services,34533,2026-02-23T19:24:50Z,0.5,43
nothings/stb,34512,2014-05-25T16:51:23Z,12.25,294
v2fly/v2ray-core,34509,2019-04-15T10:05:54Z,7.36,1040
agentscope-ai/QwenPaw,34504,2026-02-24T03:42:56Z,0.5,2300
raysan5/raylib,34476,2013-10-24T15:46:04Z,12.84,2679
derailed/k9s,34445,2019-01-25T18:46:02Z,7.58,1074
CMU-Perceptual-Computing-Lab/openpose,34413,2017-04-24T14:06:31Z,9.34,174
SeleniumHQ/selenium,34397,2013-01-14T21:40:56Z,13.61,4176
huggingface/diffusers,34385,2022-05-30T16:04:02Z,4.24,6063
anthropics/claude-plugins-official,34347,2025-11-20T18:36:20Z,0.76,3266
xitu/gold-miner,34332,2015-11-04T03:29:13Z,10.81,3563
jaredpalmer/formik,34330,2017-06-14T19:50:59Z,9.2,836
seaweedfs/seaweedfs,34298,2014-07-14T16:41:37Z,12.12,5397
python-poetry/poetry,34293,2018-02-28T15:23:47Z,8.49,2542
nodejs/node-v0.x-archive,34286,2009-05-27T16:29:46Z,17.25,218
lightpanda-io/browser,34269,2023-02-07T15:19:34Z,3.55,2522
backstage/backstage,34262,2020-01-24T22:39:49Z,6.59,21631
aristocratos/btop,34248,2021-05-06T18:40:21Z,5.31,455
balena-io/etcher,34237,2015-10-27T16:53:23Z,10.83,1733
openai/CLIP,34235,2020-12-16T11:24:42Z,5.69,30
AlexsJones/llmfit,34226,2026-02-15T16:11:31Z,0.53,473
TheAlgorithms/JavaScript,34224,2017-07-13T06:12:33Z,9.12,798
qdrant/qdrant,34208,2020-05-30T21:37:01Z,6.24,6695
swc-project/swc,34190,2017-12-22T11:40:14Z,8.68,6186
ehang-io/nps,34175,2018-11-04T13:22:51Z,7.81,74
OpenBMB/ChatDev,34126,2023-08-28T02:18:13Z,3.0,161
zenorocha/clipboard.js,34119,2015-09-18T23:04:55Z,10.93,117
lllyasviel/ControlNet,34091,2023-02-01T02:43:30Z,3.56,5
testerSunshine/12306,34086,2017-05-17T12:23:40Z,9.28,31
xkcoding/spring-boot-demo,34078,2017-11-10T06:27:29Z,8.79,15
zxing/zxing,34076,2011-10-12T14:07:27Z,14.87,389
fish-shell/fish-shell,34073,2012-05-10T03:00:55Z,14.29,2215
