repo,stars,total_releases,pushed_at,days_since_update
browser-use/browser-use,109779,135,2026-08-19T17:35:21Z,0
VoltAgent/awesome-design-md,109296,0,2026-07-31T12:32:42Z,19
axios/axios,109198,123,2026-08-19T17:29:55Z,0
fatedier/frp,108883,116,2026-08-17T16:24:14Z,2
papers-we-love/papers-we-love,108850,0,2026-07-01T09:14:27Z,49
Graphify-Labs/graphify,108345,193,2026-08-19T13:37:02Z,0
denoland/deno,108263,388,2026-08-19T23:08:17Z,0
supabase/supabase,108172,30,2026-08-19T23:19:23Z,0
openai/whisper,107634,13,2026-07-28T20:18:29Z,22
openai/codex,106857,997,2026-08-19T23:18:04Z,0
google-gemini/gemini-cli,106585,591,2026-08-19T21:33:30Z,0
DietrichGebert/ponytail,105959,15,2026-08-07T21:44:01Z,12
goldbergyoni/nodebestpractices,105589,0,2026-06-15T11:41:04Z,65
microsoft/terminal,104633,156,2026-08-19T21:54:34Z,0
deepseek-ai/DeepSeek-V3,104347,1,2025-08-28T03:24:37Z,356
react/create-react-app,103287,83,2025-02-15T01:32:11Z,550
rasbt/LLMs-from-scratch,103023,0,2026-08-10T01:11:40Z,9
pytorch/pytorch,102487,68,2026-08-19T23:20:45Z,0
Anduin2017/HowToCook,101898,5,2026-08-17T12:25:16Z,2
neovim/neovim,101869,54,2026-08-19T23:22:49Z,0
fastapi/fastapi,101711,300,2026-08-19T08:58:11Z,0
angular/angular,101007,693,2026-08-19T20:48:22Z,0
ruanyf/weekly,100788,0,2026-08-14T00:20:26Z,5
mtdvio/every-programmer-should-know,100265,0,2025-12-29T19:37:02Z,233
JuliusBrussee/caveman,99239,22,2026-08-19T16:22:16Z,0
ant-design/ant-design,99118,759,2026-08-19T21:22:18Z,0
TauricResearch/TradingAgents,98961,8,2026-07-18T15:55:05Z,32
mui/material-ui,98865,572,2026-08-19T17:14:37Z,0
nvbn/thefuck,97717,17,2024-07-19T14:56:13Z,761
tailwindlabs/tailwindcss,97287,307,2026-08-14T19:43:34Z,5
florinpop17/app-ideas,96932,0,2025-10-11T14:51:21Z,312
microsoft/Web-Dev-For-Beginners,96388,0,2026-08-05T10:13:10Z,14
hacksider/Deep-Live-Cam,96009,13,2026-08-13T22:44:22Z,6
oven-sh/bun,95469,214,2026-08-19T23:22:53Z,0
puppeteer/puppeteer,95465,701,2026-08-19T14:40:30Z,0
ryanmcdermott/clean-code-javascript,94758,0,2024-07-29T07:24:37Z,751
microsoft/playwright,94756,165,2026-08-19T23:06:57Z,0
nvm-sh/nvm,94654,74,2026-08-18T06:42:47Z,1
iluwatar/java-design-patterns,94589,0,2026-08-17T22:42:48Z,2
karpathy/autoresearch,94163,0,2026-03-26T00:07:37Z,146
earendil-works/pi,93775,255,2026-08-19T22:29:09Z,0
punkpeye/awesome-mcp-servers,92576,0,2026-08-17T21:28:42Z,2
deepseek-ai/DeepSeek-R1,92035,1,2025-06-27T08:35:54Z,418
3b1b/manim,91728,13,2026-08-18T21:03:49Z,1
thedotmack/claude-mem,91269,307,2026-08-19T22:52:35Z,0
ruvnet/RuView,90972,287,2026-08-19T19:29:21Z,0
storybookjs/storybook,90877,1000,2026-08-19T19:38:48Z,0
opencv/opencv,90508,69,2026-08-19T15:15:54Z,0
louislam/uptime-kuma,90363,131,2026-08-19T00:33:12Z,0
PanJiaChen/vue-element-admin,90206,49,2024-10-24T11:25:46Z,664
